"","lon","lat","address"
"1",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"2",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"3",6.3305583,46.4565615,"allée des santolines 1, 1180 rolle, switzerland"
"4",NA,NA,NA
"5",6.330742,46.4564913,"allée des santolines 3, 1180 rolle, switzerland"
"6",NA,NA,NA
"7",6.3308998,46.4564119,"allée des santolines 5, 1180 rolle, switzerland"
"8",6.3305974,46.4560986,"allée des santolines 6, 1180 rolle, switzerland"
"9",6.3310966,46.4563148,"allée des santolines 7, 1180 rolle, switzerland"
"10",6.330801,46.4560076,"allée des santolines 8, 1180 rolle, switzerland"
"11",6.3269087,46.4503099,"route de genève 34, 1180 rolle, switzerland"
"12",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"13",6.3410404,46.4609098,"avenue châtelain 1, 1180 rolle, switzerland"
"14",6.3399887,46.4614124,"avenue châtelain 10, 1180 rolle, switzerland"
"15",6.3409143,46.4613494,"avenue châtelain 2, 1180 rolle, switzerland"
"16",6.3405852,46.4610274,"', avenue châtelain 3, 1180 rolle, switzerland"
"17",6.3406939,46.4613023,"avenue châtelain 4, 1180 rolle, switzerland"
"18",6.3404653,46.4610212,"avenue châtelain 5, 1180 rolle, switzerland"
"19",6.3404727,46.4613002,"avenue châtelain 6, 1180 rolle, switzerland"
"20",NA,NA,NA
"21",6.3289037,46.4540892,"avenue de beaulieu 10, 1180 rolle, switzerland"
"22",6.3287722,46.4535212,"avenue de beaulieu 12, 1180 rolle, switzerland"
"23",6.3291933,46.4539301,"avenue de beaulieu 14, 1180 rolle, switzerland"
"24",6.3291734,46.4536331,"avenue de beaulieu 16, 1180 rolle, switzerland"
"25",6.3290482,46.4533889,"avenue de beaulieu 18, 1180 rolle, switzerland"
"26",NA,NA,NA
"27",6.3280897,46.4537934,"avenue de beaulieu 2, 1180 rolle, switzerland"
"28",6.3295997,46.4537902,"avenue de beaulieu 20, 1180 rolle, switzerland"
"29",6.3286743,46.4544828,"avenue de beaulieu 22, 1180 rolle, switzerland"
"30",6.328671,46.4546447,"avenue de beaulieu 24, 1180 rolle, switzerland"
"31",6.3288525,46.4546825,"avenue de beaulieu 26, 1180 rolle, switzerland"
"32",6.328862,46.4548535,"avenue de beaulieu 28, 1180 rolle, switzerland"
"33",6.3290305,46.4548912,"avenue de beaulieu 30, 1180 rolle, switzerland"
"34",6.3297511,46.4540256,"avenue de beaulieu 32, 1180 rolle, switzerland"
"35",6.3298536,46.4541075,"avenue de beaulieu 34, 1180 rolle, switzerland"
"36",NA,NA,NA
"37",6.3300576,46.4543165,"avenue de beaulieu 38, 1180 rolle, switzerland"
"38",NA,NA,NA
"39",NA,NA,NA
"40",6.328517,46.4539055,"avenue de beaulieu 6, 1180 rolle, switzerland"
"41",NA,NA,NA
"42",6.340022,46.4610529,"avenue de la gare 10, 1180 rolle, switzerland"
"43",NA,NA,NA
"44",6.3390295,46.4605665,"avenue de la gare 13, 1180 rolle, switzerland"
"45",6.3372642,46.4622317,"avenue de la gare 14, 1180 rolle, switzerland"
"46",NA,NA,NA
"47",6.3367662,46.4623988,"avenue de la gare 16, 1180 rolle, switzerland"
"48",NA,NA,NA
"49",NA,NA,NA
"50",NA,NA,NA
"51",NA,NA,NA
"52",NA,NA,NA
"53",NA,NA,NA
"54",6.3376817,46.461047,"avenue de la gare 19, 1180 rolle, switzerland"
"55",6.3400887,46.4603338,"avenue de la gare 1b, 1180 rolle, switzerland"
"56",NA,NA,NA
"57",NA,NA,NA
"58",NA,NA,NA
"59",NA,NA,NA
"60",NA,NA,NA
"61",NA,NA,NA
"62",6.3380173,46.4629677,"avenue de la gare 24, 1180 rolle, switzerland"
"63",6.3377124,46.4614499,"avenue de la gare, 1180 tartegnin, switzerland"
"64",6.3365635,46.4621169,"avenue de la gare 25, 1180 rolle, switzerland"
"65",6.3361064,46.4621844,"avenue de la gare 25b, 1180 rolle, switzerland"
"66",6.336247,46.4623117,"avenue de la gare 27, 1180 rolle, switzerland"
"67",6.3399727,46.4602787,"avenue de la gare 3, 1180 rolle, switzerland"
"68",NA,NA,NA
"69",6.3398156,46.4603222,"avenue de la gare 5, 1180 rolle, switzerland"
"70",6.3377124,46.4614499,"avenue de la gare, 1180 tartegnin, switzerland"
"71",6.3377124,46.4614499,"avenue de la gare, 1180 tartegnin, switzerland"
"72",NA,NA,NA
"73",6.3394758,46.4599671,"avenue des poiriers 3, 1180 rolle, switzerland"
"74",NA,NA,NA
"75",6.3383961,46.4603444,"avenue des poiriers 6, 1180 rolle, switzerland"
"76",6.3387163,46.4599607,"avenue des poiriers 7, 1180 rolle, switzerland"
"77",6.338149,46.460333,"avenue des poiriers 8, 1180 rolle, switzerland"
"78",6.338379,46.4599034,"avenue des poiriers 9, 1180 rolle, switzerland"
"79",6.3388702,46.4600861,"avenue des poiriers, 1180 rolle, switzerland"
"80",6.3320423,46.4552895,"avenue des uttins 1, 1180 rolle, switzerland"
"81",6.3344632,46.4559428,"avenue des uttins 10, 1180 rolle, switzerland"
"82",NA,NA,NA
"83",6.3346461,46.4559086,"avenue des uttins 12, 1180 rolle, switzerland"
"84",6.3336604,46.4556893,"avenue des uttins 13, 1180 rolle, switzerland"
"85",6.3337397,46.4563136,"avenue des uttins 15, 1180 rolle, switzerland"
"86",6.3335177,46.4563475,"avenue des uttins 17, 1180 rolle, switzerland"
"87",NA,NA,NA
"88",6.3340011,46.4549847,"avenue des uttins 2, 1180 rolle, switzerland"
"89",6.3330592,46.4564869,"avenue des uttins 21, 1180 rolle, switzerland"
"90",6.3326151,46.4552861,"avenue des uttins 3, 1180 rolle, switzerland"
"91",NA,NA,NA
"92",6.3331377,46.4551922,"avenue des uttins 5, 1180 rolle, switzerland"
"93",NA,NA,NA
"94",NA,NA,NA
"95",6.3343061,46.4559863,"avenue des uttins 8, 1180 rolle, switzerland"
"96",6.3335578,46.4556551,"avenue des uttins 9, 1180 rolle, switzerland"
"97",6.3232934,46.4572459,"avenue du jura 40, 1180 rolle, switzerland"
"98",NA,NA,NA
"99",6.3236465,46.4571684,"avenue du jura 44, 1180 rolle, switzerland"
"100",NA,NA,NA
"101",NA,NA,NA
"102",6.3229974,46.4564513,"avenue du jura 50, 1180 rolle, switzerland"
"103",NA,NA,NA
"104",NA,NA,NA
"105",NA,NA,NA
"106",NA,NA,NA
"107",NA,NA,NA
"108",NA,NA,NA
"109",6.3366212,46.4611998,"avenue général-guisan 1, 1180 rolle, switzerland"
"110",6.3335226,46.4604672,"avenue général-guisan 10, 1180 rolle, switzerland"
"111",6.3287591,46.4566968,"avenue général-guisan 100, 1180 rolle, switzerland"
"112",NA,NA,NA
"113",NA,NA,NA
"114",6.3282629,46.4567729,"avenue général-guisan 104a, 1180 rolle, switzerland"
"115",6.3282118,46.4567274,"avenue général-guisan 104b, 1180 rolle, switzerland"
"116",6.3284125,46.4564595,"avenue général-guisan 106, 1180 rolle, switzerland"
"117",6.328965,46.4563454,"avenue général-guisan 108, 1180 rolle, switzerland"
"118",NA,NA,NA
"119",6.3336561,46.4604062,"avenue général-guisan 10b, 1180 rolle, switzerland"
"120",6.3340121,46.4601848,"avenue général-guisan 11, 1180 rolle, switzerland"
"121",6.3295115,46.4561914,"avenue général-guisan 110, 1180 rolle, switzerland"
"122",6.3292684,46.4559821,"avenue général-guisan 112, 1180 rolle, switzerland"
"123",6.328693,46.4561114,"avenue général-guisan 114, 1180 rolle, switzerland"
"124",6.3279857,46.4563564,"avenue général-guisan 116, 1180 rolle, switzerland"
"125",6.328058,46.456609,"avenue général-guisan 118a, 1180 rolle, switzerland"
"126",6.3279938,46.4565634,"avenue général-guisan 118b, 1180 rolle, switzerland"
