: St-Prex
: 67060
: SwissMetNet
: 523'549 / 148'525
: 425 m
: 10 m
;Jan [m/s];Feb [m/s];Mar [m/s];Apr [m/s];Mai [m/s];Jun [m/s];Jul [m/s];Aug [m/s];Sep [m/s];Okt [m/s];Nov [m/s];Dez [m/s];Jahresmittel [m/s]
;3.3;3.0;3.1;3.1;2.7;2.7;2.7;2.7;2.9;2.9;3.1;3.2;2.9
1999;3.6;4.8;3.5;3.1;2.5;2.9;3.2;2.8;2.7;3.0;3.7;4.8;3.4
2000;3.1;3.3;3.7;2.8;2.7;3.0;3.3;2.3;2.5;3.1;2.7;2.7;2.9
2001;3.4;3.9;3.6;3.4;3.2;2.9;2.9;2.7;2.8;2.2;4.3;5.2;3.4
2002;2.6;3.7;3.4;3.7;2.4;2.6;3.0;2.6;3.4;3.1;2.9;3.4;3.1
2003;4.3;3.2;3.4;3.8;2.7;2.3;2.9;2.6;3.1;3.5;2.1;3.4;3.1
2004;4.4;3.9;3.6;3.8;3.7;3.1;2.9;2.6;3.0;2.7;3.4;3.6;3.4
2005;3.7;3.8;2.5;3.4;2.6;3.2;3.2;2.8;3.0;2.2;3.7;4.1;3.2
2006;3.8;4.3;4.2;2.8;2.6;3.1;-;3.2;2.1;2.4;2.7;3.2;3.1
2007;3.8;4.1;3.6;2.6;3.0;2.9;3.1;2.8;3.5;3.8;3.8;4.1;3.4
2008;2.9;3.1;-;2.8;3.0;2.3;2.8;2.6;3.8;2.9;3.6;3.9;3.1
2009;3.7;2.9;4.4;2.7;3.0;3.7;2.7;2.6;3.3;3.1;3.0;3.2;3.2
2010;3.3;3.6;4.3;3.4;3.4;3.1;2.6;2.8;2.7;3.4;3.5;3.6;3.3
2011;3.5;2.4;3.2;3.1;2.4;2.8;2.7;2.4;2.3;-;-;4.1;2.9
2012;3.9;4.9;3.7;4.1;3.2;2.7;3.3;2.5;3.5;2.5;3.0;3.8;3.4
2013;3.3;4.2;3.2;3.5;3.0;2.7;2.9;2.7;2.9;2.8;5.3;2.8;3.3
2014;2.4;2.9;2.9;2.8;3.8;3.3;2.7;2.8;3.1;2.0;2.5;3.8;2.9
2015;3.9;4.3;3.9;3.6;3.3;3.1;3.1;2.4;3.8;3.1;3.1;1.6;3.3
2016;3.7;4.4;4.2;3.1;3.0;2.7;2.7;2.6;2.6;3.5;3.4;2.6;3.2
2017;4.2;3.3;3.2;3.7;2.8;3.1;3.0;2.4;2.9;2.6;3.9;4.0;3.3
2018;4.6;4.6;3.7;2.8;3.0;3.6;-;-;-;-;-;-;3.7
