"","EGID","GAREA","GASTW","GBAUJ","ebf","GKLAS_text","GHEIZ_text","GENHZ_text","GENWW_text","GKAT_text","GWWV","sia","siaNr","nutzung","typ","denkmalschutz","zonenAffecation","uVal_ground","uVal_roof","uVal_wall","uVal_window","uVal_ground_saniert","uVal_roof_saniert","uVal_wall_saniert","uVal_window_saniert","gVal","gVal_saniert","fensterFl","fensterFl_breite","fensterFl_laenge","fensterFl_proz","longitude","latitude","longitude_mt","latitude_mt","breite","laenge","ausricht","enerBed_awel","enerBed_ss","enerBed_vd","enerVer_re","nutzungsgrad","kbob_PEne","kbob_PEer","kbob_GHG","bestand_Geraete","bestand_Beleuchtung","bestand_Lueftung","bestand_Klimakaelte","bestand_Heizwaerme","bestand_Warmwasser","GBAUP"
"1","9999999",1089.55831996732,"2","1291",2179.11663993465,NA,NA,NA,NA,NA,NA,"schloss",7,"nichtWohnen","mfh",1,"Zone de verdure",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,497.100696025554,447.544303274198,49.5563927513552,0.35,6.34133497,46.4586926,515703.13477982,145853.28401965,99.1958296899027,10.9839125633951,44.4184344147497,305076.329590851,223907.156758148,NA,61878,NA,NA,NA,NA,14,24,14,4,91,4,"vor 1919"
"2","280079171_1",5486.38364832744,"2","2017",10972.7672966549,"Gross- und Einzelhandel","Zentralheizung für Geb.","Gas","Gas","Ohne Wohnnutzung",NA,"verkauf",5,"nichtWohnen","mfh",NA,"Zone d'habitation de forte densité",0.3,0.2,0.2,1.3,NA,NA,NA,NA,0.48,NA,971.543741317074,372.542243718635,599.001497598438,0.5,6.33815618,46.4609288,515462.44334913,146105.27234209,58.4139931687284,93.9224208226967,64.9372231361162,548638.364832744,622574.421068377,1040978.82352941,72859,0.65,1.06,0.004,0.228,92,47,6,11,33,1,"nach 2015"
"3","829466",325.688749981689,"3","1763",977.066249945066,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","verkauf",5,"nichtWohnen","mfh",NA,"Zone de centre historique",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,231.296328662,101.035513989175,130.260814672825,0.35,6.33865697,46.45785516,515496.11327631,145763.08373343,15.8939378783574,20.4913818384288,35.0169062770762,136789.274992309,125015.315964841,143593.411764706,25572.5,0.65,1.06,0.004,0.228,92,47,6,11,33,1,"vor 1919"
"4","829857",1154.01280002049,"3","1974",3462.03840006146,"Sporthalle","ZH für mehrere Gebäude","Gas","Gas","Mit  teilw. Wohnnutzung","1","schwimmhalle",12,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,657.153925540846,271.198085252432,385.955840288415,0.5,6.33171019,46.45759891,514962.07500822,145742.11799714,28.4760543982638,40.5257267696065,33.7369680056475,592008.56641051,736250.637942918,406985.381404175,275490,0.65,1.06,0.004,0.228,11,23,9,0,102,94,"1971-1980"
"5","280010071",138.24514999978,"3","1977",414.735449999339,NA,NA,NA,NA,"Ohne Wohnnutzung",NA,"altersheim",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,218.056955567719,89.348637932259,128.70831763546,0.5,6.33601403,46.48177855,515330.52043105,148425.12346662,9.79637978325348,14.1118610199356,45.4337461766485,70919.761949887,NA,0,NA,NA,NA,NA,NA,14,21,1,7,71,31,"1971-1980"
"6","828780",100.769110001348,"1","1960",100.769110001348,"Gebäude mit 1 Wohnung","Zentralheizung für Geb.","Heizöl","Heizöl","Einfamilienhaus (EFH)","1","altersheim",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",1,0.73,0.95,1.97,0.25,0.25,0.25,1,0.8,0.55,48.8813677152817,20.3254473757665,28.5559203395153,0.4,6.33589964,46.481338,515321.04784397,148376.2783366,8.46906931346167,11.8984868669305,27.075111170548,17231.5178102304,18424.5602026493,15684.70588235,7417.5,0.8,1.23,0.009,0.301,14,21,1,7,71,31,"1946-1960"
"7","829086",1456.01020797953,"4","1982",5824.04083191813,"Krankenhaus","Zentralheizung für Geb.","Wärmepumpe","Sonnenkollektor","Mit  teilw. Wohnnutzung","1","altersheim",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",0.67,0.38,0.44,2.05,0.25,0.25,0.25,1,0.62,0.55,1582.44477358002,361.662561383362,1220.78221219666,0.5,6.33959701,46.48411145,515609.27380552,148680.56893745,20.7689667218105,70.1050864726219,81.2041894238225,698884.899830176,398102.677392432,404528.18823529,380438.5,2,0.194,1.41,0.115,14,21,1,7,71,31,"1981-1985"
"8","280066318",32.3509500014439,"1","1960",32.3509500014439,NA,NA,NA,NA,"Ohne Wohnnutzung",NA,"altersheim",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",1,0.73,0.95,1.97,0.25,0.25,0.25,1,0.8,0.55,28.0725282504687,10.77140099491,17.3011272555587,0.4,6.33576253,46.48122135,515310.33804779,148363.45949756,4.48789219407037,7.20849534759048,34.2312257111554,5532.0124502469,NA,0,NA,NA,NA,NA,NA,14,21,1,7,71,31,"1946-1960"
"9","829084",219.651179972314,"3","1930",658.953539916941,"Krankenhaus","Zentralheizung für Geb.","Heizöl","Heizöl","Mit  teilw. Wohnnutzung","1","altersheim",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,198.774400622938,65.3252608918215,133.449139731117,0.35,6.3359547,46.48152194,515325.56393034,148396.664661,10.3693004306184,21.1828349889188,48.0380229924625,117293.730105215,118019.061156854,114296.47058824,62233,0.8,1.23,0.009,0.301,14,21,1,7,71,31,"1920-1945"
"10","829895",749.740100037766,"6","1969",4498.4406002266,"Krankenhaus","Zentralheizung für Geb.","Heizöl","Heizöl","Mit  teilw. Wohnnutzung","1","altersheim",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",1.02,0.75,0.85,2,0.25,0.25,0.25,1,0.8,0.55,1058.08417592693,199.593394813566,858.490781113366,0.4,6.3225373,46.45703511,514256.53972237,145689.44792078,13.2026355328857,56.7871542140418,22.4815588654187,769233.342638748,724670.74446228,361274.823529411,158573,0.8,1.23,0.009,0.301,14,21,1,7,71,31,"1961-1970"
"11","280078440",549.245683516578,"3","2015",1647.73705054973,"Krankenhaus","Fernwärmeversorgung","Fernwärme","Sonnenkollektor","Mit  teilw. Wohnnutzung","1","altersheim",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",0.3,0.2,0.2,1.3,NA,NA,NA,NA,0.48,NA,429.736993998389,174.137811238677,255.599182759712,0.5,6.34592446,46.46391764,516063.78613013,146429.14116126,19.3441716188867,28.3933421568863,10.0403106864053,82386.8525274867,145844.620297878,98897.5058823529,281680,0.98,0.194,1.41,0.115,14,21,1,7,71,31,"2011-2015"
"12","280027129",36.7788000027903,"3","1977",110.336400008371,NA,NA,NA,NA,"Ohne Wohnnutzung",NA,"altersheim",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,109.026193579543,39.9832766852028,69.0429168943398,0.5,6.33605735,46.48190409,515334.04308527,148439.03130449,4.61507117535038,7.96928121048924,86.6291829015399,18867.5244014314,NA,0,NA,NA,NA,NA,NA,14,21,1,7,71,31,"1971-1980"
"13","829900",902.670274563466,"4","1935",3610.68109825386,"Krankenhaus","Zentralheizung für Geb.","Heizöl","Heizöl","Mit  teilw. Wohnnutzung","1","krankenhaus",8,"nichtWohnen","mfh",NA,"Zone d'installations (para-) publiques",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,720.400688725262,147.15376419402,573.246924531242,0.35,6.34643388,46.46420272,516103.35572342,146460.28260632,15.2222689816211,59.2993249333148,80.0938184321428,642701.235489188,571324.165926485,625513.411764706,196909.5,0.8,1.23,0.009,0.301,14,21,1,7,71,31,"1920-1945"
"14","829427",542.897949980141,"3","1700",1628.69384994042,NA,"Zentralheizung für Geb.","Gas","Gas","Mit  teilw. Wohnnutzung","1","restaurant",6,"nichtWohnen","mfh",2,"Zone d'habitation de faible densité",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,328.684291418103,90.4382527269632,238.24603869114,0.35,6.33679921,46.45521294,515349.27309488,145471.39556564,14.3556327071793,37.8177654063715,18.9279549081069,228017.138991659,265479.139326287,228443.294117647,122160.5,0.65,1.06,0.004,0.228,62,17,20,17,105,59,"vor 1919"
