,iid_dach,iid_bld,area_inter,area_dach_tot,area_dach_proz,ROOF_ID,EGID,pvJahr_dach_tot,pvJahr_dach_proz
1,1840,1,2.415448861,2.415448861,1,4879151,9999999,6567509,6567509
2,1841,1,3.108412971,3.108412971,1,4879152,9999999,6940972,6940972
3,1842,1,2.367003363,2.367003363,1,4879153,9999999,7264137,7264137
4,1843,1,0.542376631,0.542376631,1,4879154,9999999,7535019,7535019
5,1872,1,0.009909118,0.009909118,1,4879183,9999999,17637675,17637675
6,1873,1,5.28008361,5.28008361,1,4879184,9999999,32848338,32848338
7,2144,1,1.51813982,1.51813982,1,4879455,9999999,22292522,22292522
8,2145,1,15.23534229,15.23534229,1,4879456,9999999,26895125,26895125
9,2146,1,3.508055094,3.508055094,1,4879457,9999999,40800498,40800498
10,2153,1,63.37741476,63.37741476,1,4879464,9999999,141522554,141522554
11,2154,1,314.469011,314.469011,1,4879465,9999999,439501488,439501488
12,2155,1,112.7895755,112.7895755,1,4879466,9999999,152377362,152377362
13,2156,1,290.0438389,290.0438389,1,4879467,9999999,328305065,328305065
14,2157,1,118.0479761,118.0479761,1,4879468,9999999,180046197,180046197
15,2158,1,12.50707647,12.50707647,1,4879469,9999999,18826433,18826433
16,2159,1,86.22150295,86.22150295,1,4879470,9999999,106831911,106831911
17,2161,1,0.00922871,0.00922871,1,4879472,9999999,16176654,16176654
18,2170,1,1.452326459,1.452326459,1,4879481,9999999,21719500,21719500
19,2471,2,331.5946896,666.6743487,0.497386303,4587724,280079171_1,371115799,184587915.2
20,2472,2,345.3347795,637.7379251,0.541499519,4587725,280079171_1,343066350,185770263.4
21,2473,2,343.1294436,639.3115087,0.536717139,4587726,280079171_1,343066350,184129589.7
22,2474,2,58.17049624,92.07651751,0.631762558,4587727,280079171_1,51783625,32714955.39
23,2475,2,394.2925439,711.2658077,0.554353295,4587728,280079171_1,364642831,202140954.7
24,2476,2,340.8679821,644.7257177,0.528702319,4587729,280079171_1,349539292,184802234.3
25,2477,2,388.9163015,693.1476167,0.561087266,4587730,280079171_1,360327575,202175214.1
26,2478,2,55.07170183,83.43409384,0.660062323,4587731,280079171_1,49625937,32756211.28
27,2479,2,14.25805596,21.38314797,0.666789379,4587732,280079171_1,15103540,10070880.06
28,2480,2,2805.632222,3140.720604,0.893308439,4587733,280079171_1,2625859860,2345702774
29,2481,2,9.336442938,16.57208251,0.563383807,4587734,280079171_1,10788140,6077863.387
30,1341,3,119.9731456,120.9614947,0.991829225,4878652,829466,133027814,131940873.7
31,1342,3,175.5463376,175.989684,0.997480839,4878653,829466,153911184,153523456.9
32,1348,3,2.449690452,83.56188924,0.029315882,4878659,829466,79094302,2318719.194
33,1349,3,0.000297397,81.79521932,3.64E-06,4878660,829466,92716862,337.1063634
34,1352,3,5.719984769,5.719984769,1,4878663,829466,19241273,19241273
35,1353,3,9.228853905,216.6967651,0.042588794,4878664,829466,209426572,8919225.15
36,1354,3,0.665514955,231.1604846,0.002879017,4878665,829466,265596727,764657.4809
37,294,4,26.54621863,26.54621863,1,4876072,829857,23734128,23734128
38,295,4,475.1981105,475.1981105,1,4876073,829857,444475919,444475919
39,296,4,468.4177544,468.4177544,1,4876074,829857,438002937,438002937
40,297,4,114.754395,114.754395,1,4876075,829857,105332449,105332449
41,298,4,30.37503472,30.37503472,1,4876076,829857,26990300,26990300
42,299,4,19.3390264,19.3390264,1,4876077,829857,17261160,17261160
43,2236,5,74.47214949,74.47214949,1,4602186,280010071,80329007,80329007
44,2237,5,63.61725994,63.61725994,1,4602187,280010071,124150688,124150688
45,2234,6,57.58393151,57.58393151,1,4602184,828780,58562833,58562833
46,2235,6,43.18517849,43.18517849,1,4602185,828780,62926279,62926279
47,2365,7,559.2554284,559.2554284,1,4604019,829086,681817373,681817373
48,2367,7,130.1860463,130.1860463,1,4604020,829086,227049203,227049203
49,2369,7,132.7816512,132.7816512,1,4604021,829086,127552730,127552730
50,2371,7,603.4997976,603.4997976,1,4604022,829086,714182195,714182195
51,2251,8,27.46631064,27.46631064,1,4602201,280066318,71431211,71431211
52,2220,9,63.05238561,63.05238561,1,4602170,829084,67005612,67005612
